canonical_precinct_id,universe_name,universe_reason,key_metrics_snapshot
0510028,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 0, ""turnout_pct"": 0.0, ""support_pct"": 0.0}"
0710001,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 624, ""turnout_pct"": 0.787, ""support_pct"": 0.627}"
0710002,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 204, ""turnout_pct"": 0.642, ""support_pct"": 0.626}"
0710003,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 324, ""turnout_pct"": 0.713, ""support_pct"": 0.615}"
0710004,Persuasion Universe,Mid-support rate with high concentration of registered voters,"{""registered"": 341, ""turnout_pct"": 0.701, ""support_pct"": 0.565}"
0710005,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 169, ""turnout_pct"": 0.663, ""support_pct"": 0.679}"
0710006,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 28, ""turnout_pct"": 0.786, ""support_pct"": 0.682}"
0710007,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 248, ""turnout_pct"": 0.742, ""support_pct"": 0.734}"
0710008,Persuasion Universe,Mid-support rate with high concentration of registered voters,"{""registered"": 269, ""turnout_pct"": 0.706, ""support_pct"": 0.516}"
0710009,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 43, ""turnout_pct"": 0.651, ""support_pct"": 0.679}"
0710010,Base Protection,Highest support and high turnout; focus on maintenance and VBM sign-up,"{""registered"": 62, ""turnout_pct"": 0.758, ""support_pct"": 0.702}"
0710011,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 30, ""turnout_pct"": 0.733, ""support_pct"": 0.636}"
0710012,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 66, ""turnout_pct"": 0.742, ""support_pct"": 0.735}"
0710013,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 24, ""turnout_pct"": 0.625, ""support_pct"": 0.667}"
0710014,Base Protection,Highest support and high turnout; focus on maintenance and VBM sign-up,"{""registered"": 1531, ""turnout_pct"": 0.766, ""support_pct"": 0.729}"
0710015,Base Protection,Highest support and high turnout; focus on maintenance and VBM sign-up,"{""registered"": 127, ""turnout_pct"": 0.764, ""support_pct"": 0.742}"
0710016,Base Protection,Highest support and high turnout; focus on maintenance and VBM sign-up,"{""registered"": 170, ""turnout_pct"": 0.812, ""support_pct"": 0.739}"
0710017,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 473, ""turnout_pct"": 0.736, ""support_pct"": 0.739}"
0710018,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 730, ""turnout_pct"": 0.689, ""support_pct"": 0.755}"
0710019,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 2457, ""turnout_pct"": 0.639, ""support_pct"": 0.775}"
0710020,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 2286, ""turnout_pct"": 0.651, ""support_pct"": 0.711}"
0710021,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 1766, ""turnout_pct"": 0.653, ""support_pct"": 0.814}"
0710022,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 1148, ""turnout_pct"": 0.632, ""support_pct"": 0.773}"
0710023,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 1515, ""turnout_pct"": 0.644, ""support_pct"": 0.802}"
0710024,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 1038, ""turnout_pct"": 0.736, ""support_pct"": 0.704}"
0710025,Base Protection,Highest support and high turnout; focus on maintenance and VBM sign-up,"{""registered"": 112, ""turnout_pct"": 0.821, ""support_pct"": 0.75}"
0710026,Base Protection,Highest support and high turnout; focus on maintenance and VBM sign-up,"{""registered"": 2, ""turnout_pct"": 1.0, ""support_pct"": 1.0}"
0710027,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 20, ""turnout_pct"": 0.75, ""support_pct"": 1.0}"
0710028,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 41, ""turnout_pct"": 0.659, ""support_pct"": 0.852}"
0710029,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 51, ""turnout_pct"": 0.725, ""support_pct"": 0.865}"
0710030,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 212, ""turnout_pct"": 0.679, ""support_pct"": 0.694}"
0710031,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 436, ""turnout_pct"": 0.725, ""support_pct"": 0.623}"
0710032,Base Protection,Highest support and high turnout; focus on maintenance and VBM sign-up,"{""registered"": 79, ""turnout_pct"": 0.797, ""support_pct"": 0.762}"
0710033,Base Protection,Highest support and high turnout; focus on maintenance and VBM sign-up,"{""registered"": 658, ""turnout_pct"": 0.78, ""support_pct"": 0.807}"
0710034,Base Protection,Highest support and high turnout; focus on maintenance and VBM sign-up,"{""registered"": 116, ""turnout_pct"": 0.767, ""support_pct"": 0.719}"
0710035,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 382, ""turnout_pct"": 0.736, ""support_pct"": 0.797}"
0710036,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 532, ""turnout_pct"": 0.748, ""support_pct"": 0.766}"
0710037,Base Mobilization Universe,High support but significant turnout shortfall,"{""registered"": 28, ""turnout_pct"": 0.429, ""support_pct"": 0.75}"
0710038,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 324, ""turnout_pct"": 0.728, ""support_pct"": 0.75}"
0710039,Base Protection,Highest support and high turnout; focus on maintenance and VBM sign-up,"{""registered"": 908, ""turnout_pct"": 0.84, ""support_pct"": 0.827}"
0710040,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 1767, ""turnout_pct"": 0.74, ""support_pct"": 0.714}"
0710041,Persuasion Universe,Mid-support rate with high concentration of registered voters,"{""registered"": 289, ""turnout_pct"": 0.606, ""support_pct"": 0.526}"
0710042,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 38, ""turnout_pct"": 0.711, ""support_pct"": 0.852}"
0710043,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 253, ""turnout_pct"": 0.684, ""support_pct"": 0.769}"
0710044,Base Protection,Highest support and high turnout; focus on maintenance and VBM sign-up,"{""registered"": 66, ""turnout_pct"": 0.848, ""support_pct"": 0.714}"
0710045,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 3, ""turnout_pct"": 0.667, ""support_pct"": 0.0}"
0710046,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 5, ""turnout_pct"": 1.0, ""support_pct"": 0.2}"
0710047,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 2, ""turnout_pct"": 0.0, ""support_pct"": 0.0}"
0710048,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 83, ""turnout_pct"": 0.819, ""support_pct"": 0.676}"
0710049,Other / Unassigned,Does not meet specific targeting criteria,"{""registered"": 418, ""turnout_pct"": 0.73, ""support_pct"": 0.666}"
