canonical_precinct_id,region_id,region_rank,region_name,precinct_count,registered_total,avg_target_score
0710014,REGION_02,2,Region 02,64,0,0.0
0710015,REGION_02,2,Region 02,64,0,0.0
0710016,REGION_02,2,Region 02,64,0,0.0
0710017,REGION_02,2,Region 02,64,0,0.0
0710018,REGION_09,9,Region 09,61,0,0.0
0710019,REGION_09,9,Region 09,61,0,0.0
0710020,REGION_02,2,Region 02,64,0,0.0
0710021,REGION_04,4,Region 04,41,0,0.0
0710022,REGION_09,9,Region 09,61,0,0.0
0710023,REGION_04,4,Region 04,41,0,0.0
0710024,REGION_10,10,Region 10,47,0,0.0
0710025,REGION_02,2,Region 02,64,0,0.0
0710026,REGION_01,1,Region 01,25,0,0.0
0710027,REGION_01,1,Region 01,25,0,0.0
0710028,REGION_05,5,Region 05,24,0,0.0
0710029,REGION_05,5,Region 05,24,0,0.0
0710030,REGION_10,10,Region 10,47,0,0.0
0710031,REGION_07,7,Region 07,41,0,0.0
0710032,REGION_09,9,Region 09,61,0,0.0
0710033,REGION_04,4,Region 04,41,0,0.0
0710034,REGION_02,2,Region 02,64,0,0.0
0710035,REGION_04,4,Region 04,41,0,0.0
0710036,REGION_09,9,Region 09,61,0,0.0
0710037,REGION_02,2,Region 02,64,0,0.0
0710038,REGION_02,2,Region 02,64,0,0.0
0710039,REGION_04,4,Region 04,41,0,0.0
0710040,REGION_02,2,Region 02,64,0,0.0
0710041,REGION_08,8,Region 08,26,0,0.0
0710042,REGION_05,5,Region 05,24,0,0.0
0710043,REGION_09,9,Region 09,61,0,0.0
0710044,REGION_02,2,Region 02,64,0,0.0
0710045,REGION_03,3,Region 03,35,0,0.0
0710046,REGION_03,3,Region 03,35,0,0.0
0710047,REGION_03,3,Region 03,35,0,0.0
0710048,REGION_10,10,Region 10,47,0,0.0
0710049,REGION_10,10,Region 10,47,0,0.0
0710050,REGION_01,1,Region 01,25,0,0.0
0710051,REGION_08,8,Region 08,26,0,0.0
0710052,REGION_07,7,Region 07,41,0,0.0
0710053,REGION_03,3,Region 03,35,0,0.0
0711001,REGION_09,9,Region 09,61,0,0.0
0711002,REGION_04,4,Region 04,41,0,0.0
0711003,REGION_09,9,Region 09,61,0,0.0
0711004,REGION_09,9,Region 09,61,0,0.0
0711005,REGION_09,9,Region 09,61,0,0.0
0711006,REGION_02,2,Region 02,64,0,0.0
0711007,REGION_02,2,Region 02,64,0,0.0
0711008,REGION_10,10,Region 10,47,0,0.0
0711009,REGION_02,2,Region 02,64,0,0.0
0711010,REGION_09,9,Region 09,61,0,0.0
0711011,REGION_02,2,Region 02,64,0,0.0
0711012,REGION_09,9,Region 09,61,0,0.0
0711013,REGION_09,9,Region 09,61,0,0.0
0711014,REGION_09,9,Region 09,61,0,0.0
0711015,REGION_02,2,Region 02,64,0,0.0
0711016,REGION_09,9,Region 09,61,0,0.0
0711017,REGION_02,2,Region 02,64,0,0.0
0711018,REGION_10,10,Region 10,47,0,0.0
0711019,REGION_10,10,Region 10,47,0,0.0
0711020,REGION_10,10,Region 10,47,0,0.0
0718001,REGION_09,9,Region 09,61,0,0.0
0718002,REGION_02,2,Region 02,64,0,0.0
