canonical_precinct_id,region_id,region_rank,region_name,precinct_count,registered_total,avg_target_score
0710029,REGION_05,2,Region 05,71,80979,0.2618
0710030,REGION_10,1,Region 10,99,101232,0.2116
0710031,REGION_07,4,Region 07,81,64265,0.1452
0710032,REGION_10,1,Region 10,99,101232,0.2116
0710033,REGION_05,2,Region 05,71,80979,0.2618
0710034,REGION_10,1,Region 10,99,101232,0.2116
0710035,REGION_05,2,Region 05,71,80979,0.2618
0710036,REGION_10,1,Region 10,99,101232,0.2116
0710037,REGION_02,3,Region 02,45,68982,0.3312
0710038,REGION_10,1,Region 10,99,101232,0.2116
0710039,REGION_04,5,Region 04,16,3377,0.0483
0710040,REGION_10,1,Region 10,99,101232,0.2116
0710041,REGION_07,4,Region 07,81,64265,0.1452
0710042,REGION_05,2,Region 05,71,80979,0.2618
0710043,REGION_05,2,Region 05,71,80979,0.2618
0710044,REGION_10,1,Region 10,99,101232,0.2116
0710045,REGION_06,6,Region 06,19,1459,0.0101
0710046,REGION_08,8,Region 08,11,106,0.0011
0710047,REGION_03,10,Region 03,28,30,0.0
0710048,REGION_10,1,Region 10,99,101232,0.2116
0710049,REGION_10,1,Region 10,99,101232,0.2116
0710050,REGION_01,7,Region 01,13,652,0.0135
0710051,REGION_07,4,Region 07,81,64265,0.1452
0710052,REGION_07,4,Region 07,81,64265,0.1452
0710053,REGION_03,10,Region 03,28,30,0.0
0711001,REGION_05,2,Region 05,71,80979,0.2618
0711002,REGION_05,2,Region 05,71,80979,0.2618
0711003,REGION_05,2,Region 05,71,80979,0.2618
0711004,REGION_05,2,Region 05,71,80979,0.2618
0711005,REGION_10,1,Region 10,99,101232,0.2116
0711006,REGION_10,1,Region 10,99,101232,0.2116
0711007,REGION_10,1,Region 10,99,101232,0.2116
0711008,REGION_10,1,Region 10,99,101232,0.2116
0711009,REGION_10,1,Region 10,99,101232,0.2116
0711010,REGION_05,2,Region 05,71,80979,0.2618
0711011,REGION_10,1,Region 10,99,101232,0.2116
0711012,REGION_04,5,Region 04,16,3377,0.0483
0711013,REGION_10,1,Region 10,99,101232,0.2116
0711014,REGION_05,2,Region 05,71,80979,0.2618
0711015,REGION_10,1,Region 10,99,101232,0.2116
0711016,REGION_02,3,Region 02,45,68982,0.3312
0711017,REGION_10,1,Region 10,99,101232,0.2116
0711018,REGION_10,1,Region 10,99,101232,0.2116
0711019,REGION_10,1,Region 10,99,101232,0.2116
0711020,REGION_10,1,Region 10,99,101232,0.2116
0718001,REGION_10,1,Region 10,99,101232,0.2116
0718002,REGION_10,1,Region 10,99,101232,0.2116
0718003,REGION_05,2,Region 05,71,80979,0.2618
0718004,REGION_10,1,Region 10,99,101232,0.2116
0718005,REGION_05,2,Region 05,71,80979,0.2618
0718006,REGION_10,1,Region 10,99,101232,0.2116
0720001,REGION_07,4,Region 07,81,64265,0.1452
0720002,REGION_10,1,Region 10,99,101232,0.2116
0720003,REGION_10,1,Region 10,99,101232,0.2116
0720004,REGION_10,1,Region 10,99,101232,0.2116
0720005,REGION_07,4,Region 07,81,64265,0.1452
0720006,REGION_07,4,Region 07,81,64265,0.1452
0720007,REGION_07,4,Region 07,81,64265,0.1452
0720008,REGION_07,4,Region 07,81,64265,0.1452
0720009,REGION_03,10,Region 03,28,30,0.0
0720010,REGION_07,4,Region 07,81,64265,0.1452
0720011,REGION_07,4,Region 07,81,64265,0.1452
0720012,REGION_07,4,Region 07,81,64265,0.1452
0720013,REGION_10,1,Region 10,99,101232,0.2116
0720014,REGION_07,4,Region 07,81,64265,0.1452
0720015,REGION_06,6,Region 06,19,1459,0.0101
0720016,REGION_06,6,Region 06,19,1459,0.0101
0720017,REGION_10,1,Region 10,99,101232,0.2116
0720018,REGION_10,1,Region 10,99,101232,0.2116
0720019,REGION_10,1,Region 10,99,101232,0.2116
0720020,REGION_07,4,Region 07,81,64265,0.1452
0720021,REGION_06,6,Region 06,19,1459,0.0101
0720022,REGION_07,4,Region 07,81,64265,0.1452
0720023,REGION_07,4,Region 07,81,64265,0.1452
0720024,REGION_10,1,Region 10,99,101232,0.2116
0720025,REGION_07,4,Region 07,81,64265,0.1452
0720026,REGION_06,6,Region 06,19,1459,0.0101
0720027,REGION_06,6,Region 06,19,1459,0.0101
0720028,REGION_01,7,Region 01,13,652,0.0135
0720029,REGION_07,4,Region 07,81,64265,0.1452
0720030,REGION_08,8,Region 08,11,106,0.0011
0723001,REGION_05,2,Region 05,71,80979,0.2618
0723002,REGION_10,1,Region 10,99,101232,0.2116
0723003,REGION_07,4,Region 07,81,64265,0.1452
0725001,REGION_05,2,Region 05,71,80979,0.2618
0725002,REGION_10,1,Region 10,99,101232,0.2116
0725003,REGION_10,1,Region 10,99,101232,0.2116
0725004,REGION_10,1,Region 10,99,101232,0.2116
0725005,REGION_10,1,Region 10,99,101232,0.2116
0725006,REGION_10,1,Region 10,99,101232,0.2116
0725007,REGION_10,1,Region 10,99,101232,0.2116
0725008,REGION_10,1,Region 10,99,101232,0.2116
0725009,REGION_10,1,Region 10,99,101232,0.2116
0725010,REGION_10,1,Region 10,99,101232,0.2116
0725011,REGION_05,2,Region 05,71,80979,0.2618
0725012,REGION_10,1,Region 10,99,101232,0.2116
0725013,REGION_05,2,Region 05,71,80979,0.2618
0725014,REGION_05,2,Region 05,71,80979,0.2618
0725015,REGION_05,2,Region 05,71,80979,0.2618
0725016,REGION_02,3,Region 02,45,68982,0.3312
0726001,REGION_02,3,Region 02,45,68982,0.3312
0726002,REGION_02,3,Region 02,45,68982,0.3312
0726003,REGION_02,3,Region 02,45,68982,0.3312
0726004,REGION_07,4,Region 07,81,64265,0.1452
0730001,REGION_02,3,Region 02,45,68982,0.3312
0730002,REGION_02,3,Region 02,45,68982,0.3312
0730003,REGION_02,3,Region 02,45,68982,0.3312
0730004,REGION_02,3,Region 02,45,68982,0.3312
0730005,REGION_02,3,Region 02,45,68982,0.3312
0731001,REGION_02,3,Region 02,45,68982,0.3312
0731002,REGION_02,3,Region 02,45,68982,0.3312
0731003,REGION_02,3,Region 02,45,68982,0.3312
0731004,REGION_02,3,Region 02,45,68982,0.3312
0731005,REGION_02,3,Region 02,45,68982,0.3312
0731006,REGION_05,2,Region 05,71,80979,0.2618
0731007,REGION_05,2,Region 05,71,80979,0.2618
0731008,REGION_05,2,Region 05,71,80979,0.2618
0731009,REGION_02,3,Region 02,45,68982,0.3312
0731010,REGION_02,3,Region 02,45,68982,0.3312
0731011,REGION_02,3,Region 02,45,68982,0.3312
0736001,REGION_02,3,Region 02,45,68982,0.3312
0736002,REGION_02,3,Region 02,45,68982,0.3312
0736003,REGION_02,3,Region 02,45,68982,0.3312
0736004,REGION_02,3,Region 02,45,68982,0.3312
0736005,REGION_07,4,Region 07,81,64265,0.1452
0736006,REGION_10,1,Region 10,99,101232,0.2116
0736007,REGION_07,4,Region 07,81,64265,0.1452
0736008,REGION_07,4,Region 07,81,64265,0.1452
0740001,REGION_07,4,Region 07,81,64265,0.1452
0740002,REGION_07,4,Region 07,81,64265,0.1452
0740003,REGION_07,4,Region 07,81,64265,0.1452
0740004,REGION_07,4,Region 07,81,64265,0.1452
0740005,REGION_07,4,Region 07,81,64265,0.1452
0740006,REGION_07,4,Region 07,81,64265,0.1452
0740007,REGION_10,1,Region 10,99,101232,0.2116
0740008,REGION_07,4,Region 07,81,64265,0.1452
0740009,REGION_07,4,Region 07,81,64265,0.1452
0740010,REGION_07,4,Region 07,81,64265,0.1452
0740011,REGION_07,4,Region 07,81,64265,0.1452
0740012,REGION_05,2,Region 05,71,80979,0.2618
0740013,REGION_08,8,Region 08,11,106,0.0011
0740014,REGION_07,4,Region 07,81,64265,0.1452
0740015,REGION_07,4,Region 07,81,64265,0.1452
0740016,REGION_07,4,Region 07,81,64265,0.1452
0740017,REGION_10,1,Region 10,99,101232,0.2116
0740018,REGION_05,2,Region 05,71,80979,0.2618
0740019,REGION_10,1,Region 10,99,101232,0.2116
0740020,REGION_01,7,Region 01,13,652,0.0135
0740021,REGION_10,1,Region 10,99,101232,0.2116
0740022,REGION_07,4,Region 07,81,64265,0.1452
0740023,REGION_06,6,Region 06,19,1459,0.0101
0740024,REGION_07,4,Region 07,81,64265,0.1452
0740025,REGION_10,1,Region 10,99,101232,0.2116
0740026,REGION_04,5,Region 04,16,3377,0.0483
0740027,REGION_03,10,Region 03,28,30,0.0
0740028,REGION_07,4,Region 07,81,64265,0.1452
0740029,REGION_07,4,Region 07,81,64265,0.1452
0740030,REGION_07,4,Region 07,81,64265,0.1452
0740031,REGION_03,10,Region 03,28,30,0.0
0740032,REGION_10,1,Region 10,99,101232,0.2116
0740033,REGION_02,3,Region 02,45,68982,0.3312
0740034,REGION_05,2,Region 05,71,80979,0.2618
0741001,REGION_05,2,Region 05,71,80979,0.2618
0741002,REGION_10,1,Region 10,99,101232,0.2116
0741003,REGION_10,1,Region 10,99,101232,0.2116
0741004,REGION_05,2,Region 05,71,80979,0.2618
0741005,REGION_10,1,Region 10,99,101232,0.2116
0741006,REGION_05,2,Region 05,71,80979,0.2618
0741007,REGION_10,1,Region 10,99,101232,0.2116
0741008,REGION_02,3,Region 02,45,68982,0.3312
0741009,REGION_02,3,Region 02,45,68982,0.3312
0741010,REGION_02,3,Region 02,45,68982,0.3312
0741011,REGION_07,4,Region 07,81,64265,0.1452
0741012,REGION_02,3,Region 02,45,68982,0.3312
0742001,REGION_07,4,Region 07,81,64265,0.1452
0742002,REGION_07,4,Region 07,81,64265,0.1452
0744001,REGION_02,3,Region 02,45,68982,0.3312
0744002,REGION_05,2,Region 05,71,80979,0.2618
0744003,REGION_05,2,Region 05,71,80979,0.2618
0744004,REGION_10,1,Region 10,99,101232,0.2116
0744005,REGION_05,2,Region 05,71,80979,0.2618
0749001,REGION_07,4,Region 07,81,64265,0.1452
0749002,REGION_02,3,Region 02,45,68982,0.3312
0749003,REGION_07,4,Region 07,81,64265,0.1452
0749004,REGION_07,4,Region 07,81,64265,0.1452
0749005,REGION_07,4,Region 07,81,64265,0.1452
0749006,REGION_07,4,Region 07,81,64265,0.1452
0749007,REGION_07,4,Region 07,81,64265,0.1452
