"county","srprec","city","n_in_city","n"
"49","0100236","SANTA ROSA","37","37"
"49","0100237","SANTA ROSA","3","3"
"49","0710056","PETALUMA","2","2"
"49","0100250","PENNGROVE","14","14"
"49","0100252","PETALUMA","3","3"
"49","0100253","PETALUMA","1","1"
"49","0710033","PENNGROVE","30","30"
"49","0100267","PETALUMA","13","13"
"49","0100272","SANTA ROSA","1","1"
"49","0711001","SANTA ROSA","2027","2027"
"49","0110001","SANTA ROSA","14","14"
"49","0711013","SANTA ROSA","2267","2267"
"49","0711014","SANTA ROSA","1493","1493"
"49","0711017","SANTA ROSA","1959","1959"
"49","0711015","SANTA ROSA","1774","1774"
"49","0711003","SANTA ROSA","2266","2266"
"49","0711002","SANTA ROSA","1263","1263"
"49","0711004","SANTA ROSA","847","847"
"49","0711005","SANTA ROSA","694","694"
"49","0711009","SANTA ROSA","1611","1611"
"49","0711018","SANTA ROSA","1838","1838"
"49","0711006","SANTA ROSA","2068","2068"
"49","0711016","SANTA ROSA","660","660"
"49","0711019","SANTA ROSA","1995","1995"
"49","0110033","SANTA ROSA","1560","1560"
"49","0711007","SANTA ROSA","77","77"
"49","0110035","SANTA ROSA","5","5"
"49","0711008","SANTA ROSA","922","922"
"49","0110043","SANTA ROSA","2174","2174"
"49","0711010","SANTA ROSA","1842","1842"
"49","0711011","SANTA ROSA","1957","1957"
"49","0110050","SANTA ROSA","838","838"
"49","0110052","SANTA ROSA","1574","1574"
"49","0711012","SANTA ROSA","1304","1304"
"49","0110063","SANTA ROSA","782","782"
"49","0110066","SANTA ROSA","5","5"
"49","0110072","SANTA ROSA","271","271"
"49","0110078","SANTA ROSA","263","263"
"49","0110082","SANTA ROSA","2","2"
"49","0110083","SANTA ROSA","6","6"
"49","0718001","SONOMA","2299","2299"
"49","0718005","SONOMA","54","54"
"49","0718002","SONOMA","1448","1448"
"49","0718003","SONOMA","1953","1953"
"49","0718004","SONOMA","1940","1940"
"49","0720007","PETALUMA","259","259"
"49","0720008","PETALUMA","1526","1526"
"49","0720011","PETALUMA","1623","1695"
"49","0720012","PETALUMA","980","980"
"49","0720014","PETALUMA","398","398"
"49","0720015","PETALUMA","233","233"
"49","0720018","PETALUMA","73","73"
"49","0720009","PETALUMA","218","218"
"49","0720019","PETALUMA","247","249"
"49","0720016","PETALUMA","39","39"
"49","0720010","PETALUMA","162","162"
"49","0720020","PETALUMA","360","360"
"49","0200033","PETALUMA","41","41"
"49","0200034","COTATI","62","96"
"49","0720021","COTATI","380","380"
"49","0720005","PENNGROVE","1614","1663"
"49","0200042","PETALUMA","21","21"
"49","0720013","PETALUMA","53","53"
"49","0720023","PETALUMA","206","206"
"49","0720003","PETALUMA","236","242"
"49","0720025","PETALUMA","13","21"
"49","0720026","PETALUMA","324","324"
"49","0200054","PETALUMA","142","142"
"49","0200055","COTATI","96","96"
"49","0720027","PETALUMA","241","241"
"49","0720024","COTATI","11","11"
"49","0720028","PETALUMA","152","179"
"49","0720029","SEBASTOPOL","1636","1661"
"49","0720017","PETALUMA","52","67"
"49","0720001","SEBASTOPOL","151","151"
"49","0720006","PENNGROVE","276","286"
"49","0200081","SEBASTOPOL","11","11"
"49","0200087","PETALUMA","4","4"
"49","0720022","COTATI","439","455"
"49","0720031","SANTA ROSA","7","7"
"49","0720034","PENNGROVE","470","472"
"49","0720030","SEBASTOPOL","36","36"
"49","0200101","PETALUMA","53","61"
"49","0720002","SEBASTOPOL","91","91"
"49","0720035","SEBASTOPOL","101","101"
"49","0720032","SANTA ROSA","7","7"
"49","0200109","PETALUMA","6","9"
"49","0200117","PETALUMA","12","12"
"49","0720004","PETALUMA","9","9"
"49","0200129","SEBASTOPOL","17","17"
"49","0200130","PENNGROVE","7","7"
"49","0200134","PETALUMA","4","8"
"49","0200135","SEBASTOPOL","19","22"
"49","0200139","PETALUMA","42","42"
"49","0723001","COTATI","1884","1891"
"49","0723002","COTATI","1185","1185"
"49","0723003","COTATI","1963","1963"
"49","0723004","COTATI","17","17"
"49","0725001","PETALUMA","1676","1676"
"49","0725004","PETALUMA","2074","2074"
"49","0250003","PETALUMA","82","82"
"49","0250004","PETALUMA","3","3"
"49","0250005","PETALUMA","159","159"
"49","0250006","PETALUMA","213","213"
"49","0725012","PETALUMA","1569","1569"
"49","0725005","PETALUMA","2009","2009"
"49","0250009","PETALUMA","1029","1029"
"49","0250011","PETALUMA","914","914"
"49","0250012","PETALUMA","44","44"
"49","0725013","PETALUMA","1459","1459"
"49","0250014","PETALUMA","3","3"
"49","0725007","PETALUMA","1441","1441"
"49","0250016","PETALUMA","1625","1625"
"49","0250018","PETALUMA","142","142"
"49","0250019","PETALUMA","1789","1789"
"49","0250020","PETALUMA","1633","1633"
"49","0250022","PETALUMA","707","707"
"49","0725015","PETALUMA","423","424"
"49","0725011","PETALUMA","299","299"
"49","0250025","PETALUMA","10","10"
"49","0725002","PETALUMA","164","164"
"49","0725009","PETALUMA","1988","1988"
"49","0725008","PETALUMA","396","396"
"49","0250034","PETALUMA","122","122"
"49","0250035","PETALUMA","814","814"
"49","0725003","PETALUMA","1355","1355"
"49","0725016","PETALUMA","1594","1594"
"49","0250038","PETALUMA","626","626"
"49","0250041","PETALUMA","774","774"
"49","0725006","PETALUMA","2295","2295"
"49","0250046","PETALUMA","1579","1579"
"49","0250047","PETALUMA","2094","2094"
"49","0725010","PETALUMA","1913","1913"
"49","0250049","PETALUMA","292","292"
