mprec,srprec
"0100167","0710039"
"0100168","0710032"
"0100169","0710020"
"0100171","0710019"
"0100172","0100172"
"0100173","0100173"
"0100174","0710014"
"0100175","0710015"
"0100176","0710021"
"0100177","0100177"
"0100178","0710002"
"0100179","0710020"
"0100180","0100180"
"0100181","0710043"
"0100182","0710055"
"0100183","0710051"
"0100184","0710053"
"0100185","0710032"
"0100186","0710003"
"0100187","0710043"
"0100188","0710022"
"0100189","0710040"
"0100190","0710022"
"0100191","0100191"
"0100192","0710029"
"0100193","0710029"
"0100194","0710040"
"0100195","0710022"
"0100196","0710022"
"0100197","0710049"
"0100198","0710049"
"0100199","0710012"
"0100200","0710054"
"0100201","0710054"
"0100202","0710054"
"0100203","0710006"
"0100204","0710004"
"0100205","0710004"
"0100206","0100206"
"0100207","0710024"
"0100208","0710045"
"0100209","0710053"
"0100210","0710034"
"0100211","0100211"
"0100212","0710023"
"0100213","0710039"
"0100214","0710003"
"0100215","0100215"
"0100216","0710003"
"0100217","0100217"
"0100218","0710014"
"0100219","0710035"
"0100220","0100220"
"0100221","0710030"
"0100222","0710022"
"0100223","0710030"
"0100224","0100224"
"0100225","0710049"
"0100226","0710016"
"0100227","0710045"
"0100228","0710045"
"0100229","0710045"
"0100230","0710016"
"0100231","0710050"
"0100232","0100232"
"0100233","0710050"
"0100234","0710013"
"0100235","0710050"
"0100236","0100236"
"0100237","0100237"
"0100238","0710031"
"0100239","0710014"
"0100240","0710056"
"0100241","0100241"
"0100242","0710056"
"0100243","0710042"
"0100244","0710042"
"0100245","0710042"
"0100246","0710042"
"0100247","0710042"
"0100248","0710047"
"0100249","0710047"
"0100250","0100250"
"0100251","0710002"
"0100252","0100252"
"0100253","0100253"
"0100254","0710013"
"0100255","0710016"
"0100256","0100256"
"0100257","0710031"
"0100258","0710033"
"0100259","0710024"
"0100260","0710032"
"0100261","0710032"
"0100262","0710023"
"0100263","0710047"
"0100264","0710038"
"0100265","0710047"
"0100266","0710047"
"0100267","0100267"
"0100268","0710055"
"0100269","0710009"
"0100270","0710009"
"0100271","0710009"
"0100272","0100272"
"0110000","0711001"
"0110001","0110001"
"0110002","0711013"
"0110003","0711014"
"0110004","0711017"
"0110005","0711015"
"0110006","0711003"
"0110007","0711002"
"0110008","0711002"
"0110009","0711004"
"0110010","0711002"
"0110011","0711005"
"0110012","0711005"
"0110013","0711002"
"0110014","0711005"
"0110015","0711005"
"0110016","0711002"
"0110017","0711017"
"0110018","0711002"
"0110019","0711009"
"0110020","0711009"
"0110021","0711009"
"0110022","0711018"
"0110023","0711018"
"0110024","0711006"
"0110025","0711009"
"0110026","0711001"
"0110027","0711016"
"0110028","0711019"
"0110029","0711019"
"0110030","0711017"
"0110031","0711017"
"0110032","0711016"
"0110033","0110033"
"0110034","0711007"
"0110035","0110035"
"0110036","0711008"
"0110037","0711006"
