mprec,srprec
"0500027","0500027"
"0500028","0500028"
"0500030","0750038"
"0500031","0750039"
"0500032","0750039"
"0500033","0750038"
"0500034","0750033"
"0500035","0750033"
"0500036","0750034"
"0500037","0750041"
"0500038","0750041"
"0500039","0750043"
"0500040","0750034"
"0500041","0750034"
"0500042","0750001"
"0500043","0750043"
"0500044","0750035"
"0500045","0750035"
"0500046","0750044"
"0500047","0750044"
"0500048","0750048"
"0500049","0750002"
"0500050","0750049"
"0500051","0750003"
"0500052","0750003"
"0500053","0750003"
"0500054","0750004"
"0500055","0750005"
"0500056","0750005"
"0500057","0750003"
"0500058","0750006"
"0500059","0750007"
"0500060","0750007"
"0500061","0750052"
"0500062","0750008"
"0500063","0750037"
"0500064","0750050"
"0500065","0750052"
"0500066","0750052"
"0500067","0750050"
"0500068","0750003"
"0500069","0750051"
"0500070","0750051"
"0500071","0750052"
"0500072","0750052"
"0500073","0750051"
"0500074","0750040"
"0500075","0750052"
"0500076","0500076"
"0500077","0750054"
"0500078","0750007"
"0500079","0500079"
"0500080","0500080"
"0500081","0500081"
"0500082","0750053"
"0500083","0750045"
"0500084","0750002"
"0500085","0750003"
"0500086","0750009"
"0500087","0500087"
"0500088","0750041"
"0500089","0750010"
"0500090","0750010"
"0500091","0750011"
"0500092","0750011"
"0500093","0750008"
"0500094","0750008"
"0500095","0750036"
"0500096","0750036"
"0500097","0750012"
"0500098","0750012"
"0500099","0750012"
"0500100","0750012"
"0500101","0750013"
"0500102","0750014"
"0500103","0750014"
"0500104","0750013"
"0500105","0750012"
"0500106","0750014"
"0500107","0750014"
"0500108","0750013"
"0500109","0750014"
"0500110","0750010"
"0500111","0750012"
"0500112","0750015"
"0500113","0750014"
"0500114","0750015"
"0500115","0750015"
"0500116","0750015"
"0500117","0750036"
"0500118","0750036"
"0500119","0500119"
"0500120","0750044"
"0500121","0750016"
"0500122","0750016"
"0500123","0750016"
"0500124","0750016"
"0500125","0750044"
"0500126","0750048"
"0500127","0500127"
"0500128","0750011"
"0500129","0750017"
"0500130","0750010"
"0500131","0750013"
"0500132","0500132"
"0500133","0750017"
"0500134","0750010"
"0500135","0750017"
"0500136","0750010"
"0500137","0750055"
"0500138","0750055"
"0500139","0750055"
"0500140","0750055"
"0500141","0750055"
"0500142","0750055"
"0500143","0750044"
"0500144","0750056"
"0500145","0750044"
"0500146","0500146"
"0500147","0750056"
"0500148","0750045"
"0500149","0500149"
"0500150","0750045"
"0500151","0750045"
"0500152","0750009"
"0500153","0750007"
"0500154","0750009"
"0500155","0750007"
"0500156","0750018"
"0500157","0750019"
"0500158","0750045"
"0500159","0750056"
"0500160","0750041"
"0500161","0750042"
"0500162","0500162"
"0500163","0750034"
"0500164","0750034"
"0500165","0750042"
"0500166","0750034"
"0500167","0750020"
"0500168","0750049"
"0500170","0750020"
"0500171","0750002"
"0500172","0750040"
"0500173","0750040"
"0500174","0750057"
"0500175","0750040"
"0500176","0750040"
"0500177","0750057"
"0500178","0750004"
"0500179","0500179"
"0500180","0750021"
"0500181","0750021"
"0500182","0750005"
"0500183","0750021"
"0500184","0750021"
"0500185","0750021"
"0500186","0750021"
"0500187","0750039"
"0500188","0750054"
"0500189","0750022"
"0500190","0750022"
"0500191","0750022"
"0500192","0750001"
"0500193","0750022"
"0500194","0750001"
"0500195","0750023"
"0500196","0750022"
"0500197","0750001"
"0500198","0500198"
"0500199","0750009"
"0500200","0750009"
"0500201","0750004"
"0500202","0500202"
"0500203","0750023"
"0500204","0750005"
"0500205","0750005"
"0500206","0750023"
"0500207","0750005"
"0500208","0500208"
"0500209","0750023"
"0500210","0750023"
"0500211","0750023"
"0500212","0750024"
"0500213","0750024"
"0500214","0750011"
"0500215","0750025"
"0500216","0750006"
"0500217","0750011"
"0500218","0750015"
"0500219","0750026"
"0500220","0750026"
"0500221","0750015"
"0500222","0750026"
"0500223","0750025"
"0500224","0750025"
"0500225","0750024"
"0500226","0750011"
"0500227","0750024"
"0500228","0750024"
"0500229","0750006"
"0500230","0750004"
"0500231","0750006"
"0500232","0750027"
"0500233","0750028"
"0500234","0750006"
"0500235","0750006"
"0500236","0750028"
"0500237","0750026"
"0500238","0500238"
"0500239","0750026"
"0500240","0750027"
"0500241","0750027"
"0500242","0750027"
"0500243","0750029"
"0500244","0750030"
"0500245","0750027"
"0500246","0750026"
"0500247","0750024"
"0500248","0750030"
"0500249","0750029"
"0500250","0750025"
"0500251","0500251"
"0500252","0750025"
"0500253","0750025"
"0500254","0750008"
"0500255","0750013"
"0500256","0750017"
"0500257","0750027"
"0500258","0750028"
"0500259","0750007"
"0500260","0750056"
"0500261","0500261"
"0500262","0750037"
"0500263","0750018"
"0500264","0500264"
"0500265","0750018"
"0500266","0750019"
"0500267","0750018"
"0500268","0750031"
"0500269","0750031"
"0500270","0750018"
"0500271","0750018"
"0500272","0750017"
"0500273","0500273"
"0500274","0750019"
"0500275","0750020"
"0500276","0750017"
"0500277","0750019"
"0500278","0500278"
"0500279","0750046"
"0500280","0750047"
"0500281","0750008"
"0500282","0750050"
"0500283","0750053"
"0500284","0750050"
"0500285","0750050"
"0500286","0750047"
"0500287","0750051"
"0500288","0750039"
"0500289","0750039"
"0500290","0750039"
"0500291","0750051"
"0500292","0500292"
"0500293","0500293"
"0500294","0500294"
"0500295","0750056"
"0500296","0750056"
"0500297","0750020"
"0500298","0750045"
"0500299","0750046"
"0500300","0750046"
"0500301","0750046"
"0500302","0500302"
"0500303","0750008"
"0500304","0750048"
"0500305","0750048"
"0500306","0500306"
"0500307","0500307"
"0510001","0751001"
"0510002","0751002"
"0510003","0751003"
"0510004","0751004"
"0510005","0510005"
"0510006","0751001"
"0510007","0510007"
"0510008","0510008"
"0510009","0510009"
"0510010","0510010"
"0510011","0510011"
"0510012","0510012"
"0510013","0510013"
"0510014","0751005"
"0510015","0510015"
"0510016","0751005"
"0510017","0751005"
"0510018","0751006"
"0510019","0751006"
"0510020","0751006"
"0510021","0751006"
"0510022","0751007"
"0510023","0751007"
"0510024","0751002"
"0510025","0751001"
"0510026","0510026"
"0510027","0510027"
"0510028","0510028"
"0510029","0751003"
"0510030","0751002"
"0510031","0751002"
"0510032","0751002"
"0510033","0510033"
"0510034","0751007"
"0510035","0751006"
"0510036","0751004"
"0510037","0751006"
"0510038","0510038"
"0570001","0757001"
